Title,Year,Author,Publisher,Page Number,Type,Text Content,Figure Number,Image Key,Image URL,Image Description
BOTW,2007,BOTWAuthor.,BOTWPublisher,6,Image,NA,4-1,BOTW-Figures/page_6_img_4-1.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_6_img_4-1.png,"Figure 4-1 from ""Bees of the World"" by Daniel C. Danforth provides a detailed visual representation of the developmental stages of bees, focusing on the transitions from egg to larva. The figure is divided into several panels, each illustrating a different stage in the early life of a bee. Panel 4-1a depicts the elongate and gently curved eggs, which are whitish and have a soft, membranous chorion. These eggs are typically laid on or within the food mass intended for larval consumption. This setup is crucial for the initial nourishment of the larvae upon hatching.

Panels 4-1b through 4-1d sequentially illustrate the progression of the larval stage, showing the transformation from newly hatched larvae to more developed forms. These larvae are depicted as soft, whitish, legless grubs. The figure highlights how these larvae typically lie on the upper surface of the food mass, consuming the food below and in front of them. This feeding strategy supports their rapid growth and multiple moltings, which are essential processes in their development towards pupation.

Overall, Fig. 4-1 effectively encapsulates the critical early developmental stages of bees, emphasizing the morphological changes and feeding behaviors that are pivotal for their growth and survival. This figure serves as a valuable educational tool for understanding the complex life cycle of bees, particularly the dynamics of their growth from egg to larva."
BOTW,2007,BOTWAuthor.,BOTWPublisher,8,Image,NA,4-2,BOTW-Figures/page_8_img_4-2.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_8_img_4-2.png,"Figure 4-2 from ""Bees of the World"" by Daniel C. Danforth illustrates the anatomical structure of a bee during the prepupal stage, commonly referred to as the defecated larva. This figure is crucial for understanding the morphological changes that occur at the end of the larval development in bees. The image distinctly labels key components such as the head capsule, spiracles, and the dorsal and ventral sides of the bee, which are critical for respiratory function and developmental biology. Additionally, the segmentation of the bee's body is clearly marked, showing the division into thorax and abdomen, which are essential for movement and organ segmentation. This detailed labeling helps in identifying the physical transformations that the bee undergoes during this transitional stage, providing valuable insights for entomological studies focused on growth patterns and physiological changes in bee larvae."
BOTW,2007,BOTWAuthor.,BOTWPublisher,35,Image,NA,8-2,BOTW-Figures/page_35_img_8-2.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_35_img_8-2.png,"Figure 8-2 from ""Bees of the World"" by Daniel C. Danforth illustrates the anatomical features of the female Coelioxys gracillima, a species within the Megachilini tribe. The figure focuses on key morphological characteristics relevant to species identification. Notably, it shows the absence of the omaular carina, a structural detail typically found along the rear margin of the pronotum. Additionally, the figure highlights the scutellum, which lacks a distinct angle between its dorsal and posterior surfaces, presenting a more streamlined profile. The axilla is depicted as rounded, contrasting with more angular forms found in other genera. These features are critical for distinguishing C. gracillima from closely related species within the Megachilini tribe, aiding in accurate classification and study of bee biodiversity. This visual representation serves as an essential reference for entomologists and researchers focusing on bee taxonomy and morphology."
BOTW,2007,BOTWAuthor.,BOTWPublisher,36,Image,NA,8-3,BOTW-Figures/page_36_img_8-3.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_36_img_8-3.png,"Figure 8-3 from ""Bees of the World"" by Daniel C. Danforth illustrates the characteristic morphology of the female Megachile bee's metasoma, specifically highlighting its non-tapering structure. The figure provides a dorsal view of the bee's metasoma, which is segmented into several sclerites labeled from S1 to S6. Each segment is depicted as relatively uniform in width, emphasizing the lack of tapering mentioned in the text. This structural feature is crucial for identifying the genus Megachile within the tribe Megachilini. The figure serves as a visual confirmation of the textual description, aiding in the identification and understanding of this specific anatomical trait in female Megachile bees."
BOTW,2007,BOTWAuthor.,BOTWPublisher,38,Image,NA,8-5,BOTW-Figures/page_38_img_8-5.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_38_img_8-5.png,"Figure 8-5 from ""Bees of the World"" by Daniel C. Danforth illustrates the anatomical adaptations of the scopa in female bees of the Halictini tribe from the Western Hemisphere. Specifically, the figure showcases two distinct conditions: the absence of scopa in certain genera (Fig. 8-5a) and the presence of a well-developed scopa extending from the hind trochanter to the tibia, forming a corbicula on the underside of the femur in others (Fig. 8-5b). This comparison highlights the morphological diversity within the tribe and emphasizes the evolutionary adaptations related to pollen collection and transportation. The detailed labeling in the figure aids in understanding the specific anatomical locations and the structural differences that influence the functional capabilities of these bees in their respective ecological niches."
BOTW,2007,BOTWAuthor.,BOTWPublisher,38,Image,NA,8-6,BOTW-Figures/page_38_img_8-6.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_38_img_8-6.png,"Figure 8-6 from ""Bees of the World"" by Daniel C. Danforth illustrates the anatomical features of female bees from various subgenera of Lasioglossum in the Western Hemisphere. This figure specifically highlights the basitibial plate and scopa structures, which are crucial for identifying different subgenera within the genus. The basitibial plate is shown as a distinct structure, essential for the classification of these bees. The scopa, well-developed and forming a corbicula on the underside of the femur, is depicted with varying degrees of development across the subgenera, being less prominent in parasitic species of the subgenus Dialictus. Additionally, the propodeum is illustrated with a carina or rounded angle that effectively separates the lateral from the posterior surfaces, a characteristic vital for subgeneric differentiation. This figure serves as a comparative tool for entomologists and taxonomists studying the morphological diversity and evolutionary relationships within the Lasioglossum genus."
BOTW,2007,BOTWAuthor.,BOTWPublisher,39,Image,NA,8-7,BOTW-Figures/page_39_img_8-7.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_39_img_8-7.png,"Figure 8-7 from ""Bees of the World"" by Daniel C. Danforth illustrates the specialized structures of the Family Megachilidae, focusing on the scopa of adult female bees. This figure provides a detailed view of the scopa, a pollen-carrying structure, located on the metasomal sterna (segments S2 to S6) of the bee. This adaptation is significant as it highlights a key evolutionary trait in Megachilidae, where the scopa is well-developed and used for transporting pollen, contrasting with other bee families where pollen is typically carried on the hind legs. The figure effectively showcases the dense, brush-like arrangement of hairs that make up the scopa, emphasizing its role in pollen collection and retention. This visual representation serves as a critical educational tool for understanding the morphological adaptations that support the bee's ecological role in pollination."
BOTW,2007,BOTWAuthor.,BOTWPublisher,60,Image,NA,13-1,BOTW-Figures/page_60_img_13-1.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_60_img_13-1.png,"Figure 13-1 from ""Bees of the World"" by Daniel C. Danforth illustrates the distinctive morphological features of the subgenus L. (Protodiscelis) of Leioproctus bees found in South America. The figure provides a detailed visual representation of various anatomical parts critical for identifying this subgenus. Key labeled components include the glossal lobes, which are depicted as not significantly longer than their basal width, highlighting a unique trait of this group. Additionally, the figure shows the scopal hairs on the tibia and sterna, characterized by their numerous short, fine branches, which are essential for pollen collection and transport. The clypeal margin of the male, shown as unmodified and truncate, is another critical feature for distinguishing this subgenus. This figure serves as an essential tool for entomologists and researchers studying the taxonomy and morphology of South American Leioproctus bees, providing clear visual cues that align with the descriptive text."
BOTW,2007,BOTWAuthor.,BOTWPublisher,84,Image,NA,19-2,BOTW-Figures/page_84_img_19-2.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_84_img_19-2.png,"Fig. 19-2 from ""Bees of the World"" by Daniel C. Danforth illustrates the morphological differences in the glossa of adult female bees from the families Colletinae and Halictinae. This figure is divided into four parts: 19-2a and 19-2b depict the glossa of Colletinae bees, which is characterized as bilobed, showing a split or bifurcation at the tip. This feature is significant as it is adapted for their specific method of pollen collection and nectar feeding. Conversely, 19-2c and 19-2d show the glossa of Halictinae bees, which is pointed, a trait that aids in their nectar foraging efficiency. The clear visual contrast between these glossa types in the figure emphasizes the evolutionary adaptations that influence feeding behavior and ecological niches in these bee families. This detailed depiction aids in understanding the functional morphology and its implications for ecological adaptation and behavior in these groups of bees."
BOTW,2007,BOTWAuthor.,BOTWPublisher,86,Image,NA,19-5,BOTW-Figures/page_86_img_19-5.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_86_img_19-5.png,"Figure 19-5 from ""Bees of the World"" by Daniel C. Danforth illustrates anatomical features of male Neffapis bees of the Protandrenini tribe. This figure specifically focuses on the morphology of the mouthparts and genitalia, highlighting adaptations that distinguish Neffapis from other genera within the same tribe. Key labeled components include the glossa and labial palpus, which are shown extending to the middle of the metasoma when in repose. The labial palpus is notably three-segmented, with the third segment being longer than the first and second combined, a characteristic detail for identification. Additionally, the maxillary palpus is depicted as two-segmented. The figure also details the gonostylus, which is oriented downward at a right angle to the gonocoxite, providing insight into the reproductive structures of these bees. This precise depiction aids in understanding the morphological traits critical for taxonomic and ecological studies of the Protandrenini tribe."
BOTW,2007,BOTWAuthor.,BOTWPublisher,86,Image,NA,19-6,BOTW-Figures/page_86_img_19-6.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_86_img_19-6.png,"Figure 19-6, from ""Bees of the World"" by Daniel C. Danforth, illustrates the distinctive morphological features of the subgenera L. (Filiglossa) of Leioproctus bees native to South America. This figure focuses on two key anatomical components: the galea and the labial palpus. The galea is depicted with numerous elongated apical hairs, which are significantly longer than those found in other subgenera, highlighting its unique adaptation possibly for enhanced sensory detection or pollen collection. Adjacent to this, the labial palpus is shown as filamentous and notably lengthy, extending about as long as the bee's face, suggesting a specialized role in feeding or sensory perception. These features are critical for identifying this subgenera and understanding its ecological interactions within its native habitat. The diagram serves as a visual reference for these specialized structures, aiding in the identification and study of South American Leioproctus bees."
BOTW,2007,BOTWAuthor.,BOTWPublisher,91,Image,NA,20-5,BOTW-Figures/page_91_img_20-5.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_91_img_20-5.png,"Figure 20-5 from ""Bees of the World"" by Daniel C. Danforth provides a detailed illustration of anatomical features characteristic of the Family Rophitinae, specifically focusing on adult female bees. The figure is divided into parts labeled 20-5b and 20-5c, each highlighting different anatomical details relevant to their taxonomy and identification.

In part 20-5b, the figure illustrates the episternal groove extending below the scrobal groove, though it is noted to be frequently shallow. This feature is significant as it helps in distinguishing members of the Rophitinae from other bee families. The positioning of the antennae, which arise below the middle of the face, is also clearly depicted, providing a visual reference for this diagnostic characteristic.

Part 20-5c of the figure shifts focus to the episternal groove as it is commonly found in the Family Apidae, where it extends down to or curves into and joins the scrobal groove. This specific anatomical trait is crucial for differentiating between subfamilies within the Apidae.

Overall, Figure 20-5 serves as a comparative anatomical reference that aids in the identification and classification of female bees within the families Rophitinae and Apidae, emphasizing the variations in the episternal groove across different groups."
BOTW,2007,BOTWAuthor.,BOTWPublisher,94,Image,NA,21-2,BOTW-Figures/page_94_img_21-2.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_94_img_21-2.png,"Figure 21-2 from ""Bees of the World"" by Daniel C. Danforth illustrates the anatomical features of the Family Oxaeinae, a subgroup within the Andrenidae. This figure specifically focuses on the morphology of the bee's mouthparts, highlighting the lacinia and the arrangement of the mentum and lorum. The lacinia is shown as either inconspicuous or displaced, diverging from the typical scalelike lobe found at the base of the galea in other bee families. Additionally, the figure clarifies that the mentum and lorum do not form a proboscidial lobe, a characteristic that distinguishes Oxaeinae from other related groups. The mentum is depicted as sometimes membranous, while the lorum is either a membranous or nearly flat sclerotized membrane, positioned as an apron between the cardines. This detailed depiction aids in understanding the unique structural adaptations within the Oxaeinae, contributing to their identification and classification within the broader bee taxonomy."
BOTW,2007,BOTWAuthor.,BOTWPublisher,96,Image,NA,21-3,BOTW-Figures/page_96_img_21-3.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_96_img_21-3.png,"Figure 21-3 in ""Bees of the World"" by Daniel C. Danforth illustrates the morphological characteristics of the clypeus in the subfamily Xylocopinae of the Apidae. This figure specifically focuses on the variability and structural adaptations of the clypeus across different genera within the subfamily. Key labeled components include detailed illustrations of the clypeus in various views (labeled as 21-3d and 21-3h). These components highlight the convex shape of the clypeus and the backward bending of its lower lateral parts, which are significant for understanding the facial structure adaptations in these bees. The figure serves as a visual reference to complement textual descriptions of these morphological features, aiding in the identification and classification of Xylocopinae bees based on clypeal variations. This detailed depiction underscores the diversity within the subfamily and its implications for ecological interactions and evolutionary biology."
BOTW,2007,BOTWAuthor.,BOTWPublisher,122,Image,NA,33-1,BOTW-Figures/page_122_img_33-1.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_122_img_33-1.png,"Fig. 33-1 from ""Bees of the World"" by Daniel C. Danforth illustrates key anatomical features of the Megachilidae family, focusing on the structure of the labial palpus and galeal blade. Panel 33-1a depicts the labial palpus, highlighting the first two elongate and flattened segments, with the subsequent two segments being smaller and diverging laterally, not flattened. This configuration is significant as it is characteristic of the Megachilidae, contrasting with other bee families where the labial palpus may have a different structure. Panel 33-1b shows the galeal blade, which is elongate and typically as long as or longer than the stipes, a feature that helps in identifying members of this family. The absence of a galeal comb and the presence of a stipital comb and concavity, also shown in this panel, further aid in distinguishing Megachilidae from other families. This figure serves as a crucial reference for entomologists and researchers studying the morphological traits that define this specific group of bees."
BOTW,2007,BOTWAuthor.,BOTWPublisher,122,Image,NA,33-2,BOTW-Figures/page_122_img_33-2.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_122_img_33-2.png,"Figure 33-2 from ""Bees of the World"" by Daniel C. Danforth illustrates the anatomical variations in the labrum and subantennal areas across different bee families, specifically highlighting the Megachilidae, Apidae, Andrenidae, and Halictidae families. Each panel (a through d) in the figure provides a detailed view of these structures, which are crucial for taxonomic differentiation among these families.

Panel 33-2a focuses on the Megachilidae family, showing a labrum with enlarged basolateral angles and a broad base forming a wide articulation with the clypeus, characteristic of this family. The labrum is depicted as widest at its base, which is a distinctive feature for identification.

Panel 33-2b represents the Apidae family, where the labrum has less developed basolateral angles and a narrower articulation with the clypeus compared to Megachilidae. This panel illustrates a labrum that is usually broader than long, aiding in distinguishing members of this family.

Panel 33-2c details the Andrenidae family, specifically focusing on the subantennal area defined by two sutures below each antennal socket. This feature, along with the presence of a facial fovea in females and some males, is key for recognizing this family.

Lastly, panel 33-2d shows the Halictidae family, where the labrum has little to no development of basolateral angles and features a single subantennal suture below each antennal socket, which helps differentiate this family from others.

This figure effectively encapsulates critical morphological features used in the taxonomic classification of these bee families, providing a clear visual reference for comparative studies."
BOTW,2007,BOTWAuthor.,BOTWPublisher,129,Image,NA,36-1,BOTW-Figures/page_129_img_36-1.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_129_img_36-1.png,"Fig. 36-1 from ""Bees of the World"" by Daniel C. Danforth illustrates key anatomical features of the male Ctenocolletes species, a genus within the Stenotritidae family. This figure specifically highlights the morphology of the seventh sternum (S7) and the seventh tergum (T7) of the male bee. The T7 is noted for its well-developed pygidial plate, which is a significant characteristic for species identification. The S7 is depicted as a transverse band that is sometimes expanded and produced apically at each side, forming a large median emargination. This structure is adorned with hairs on the apical margin or projections, which are critical for differentiating this genus from others within the same family. The figure serves as a visual guide to understanding the unique structural adaptations in Ctenocolletes, aiding in the taxonomy and identification of these bees."
BOTW,2007,BOTWAuthor.,BOTWPublisher,133,Image,NA,37-3,BOTW-Figures/page_133_img_37-3.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/BOTW-Figures/page_133_img_37-3.png,"Figure 37-3 from ""Bees of the World"" by Daniel C. Danforth illustrates the anatomical features of the propodeum in the genus Colletes of the tribe Colletini. This figure is particularly focused on showing the base of the propodeum, which is characterized by a short, subhorizontal to vertical basal zone. This zone is distinctly defined posteriorly by a carina, a critical structural feature for distinguishing species within this genus. The carina serves as a ridge or a raised seam that clearly marks the transition between different sculptural or textural areas of the propodeum. Additionally, the figure highlights the presence of longitudinal carinae that may delimit strong pits, further aiding in the identification and classification of these bees. This detailed depiction is essential for entomologists and researchers studying the morphological diversity and taxonomy of the Colletini tribe, providing a clear visual reference for these specific anatomical characteristics."
