Title,Year,Author,Publisher,Page Number,Type,Text Content,Figure Number,Image Key,Image URL,Image Description
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,19,Image,NA,1,HOTW-Figures/pg_19_img_1.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_19_img_1.png,"Fig. 1 from ""Hymenoptera of the World"" (1993) by Charles D. Michener illustrates the terms of relative position used in entomological keys. The figure is divided into two main sections: the first depicts a winged insect's lateral view, while the second presents a top-down perspective of a circular structure.

Key labeled components include ""anterior,"" ""posterior,"" ""medial,"" and ""lateral,"" indicating directional terminology essential for identifying anatomical features in Hymenoptera. The terms ""anterior margin"" and ""posterior margin"" highlight the specific edges of anatomical structures, aiding in precise classification. The circular diagram's labels such as ""dorsal,"" ""ventral,"" and ""apex"" provide additional spatial references critical for understanding insect morphology.

This figure serves as a foundational reference for researchers and students, emphasizing the importance of accurate terminology in the study of insect anatomy and taxonomy."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,20,Image,NA,2,HOTW-Figures/pg_20_img_2.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_20_img_2.png,"Fig. 2 from ""Hymenoptera of the World"" (1993) by Charles D. Michener illustrates the main morphological divisions and structures of a species from the genus Symphyta, specifically *Aglaostigma quattuordecimpunctatum* (Norton). This dorsal view highlights key components essential for understanding insect morphology. The figure labels include the **scape**, crucial for antenna support; **mesoscutum**, which is part of the thorax; and **metascutum**, contributing to the structural integrity of the back. Other notable features are the **ocellus** and **eye** on the head, which are vital for sensory perception. The **ovipositor sheath** and **cercus** are labeled to demonstrate their importance in reproductive processes. Each labeled component plays a significant role in the insect's anatomy, providing insight into its functionality and adaptation. The clear delineation of these parts serves as a reference for comparative morphology and taxonomic classification within Hymenoptera."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,21,Image,NA,3,HOTW-Figures/pg_21_img_3.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_21_img_3.png,"Figure 3 from ""Hymenoptera of the World"" (1993) by Charles D. Michener illustrates the main morphological divisions and structures of a species of Symphyta, *Aglossigma quattordecimpunctatum* (Norton) in a lateral view. The labeled components provide a comprehensive overview of the anatomical features critical for identification and understanding of the species. Key components include the head, noted for structures such as the ocellus and eye, which are vital for sensory functions. The thorax is further delineated into areas like the propleuron and mesocotum, each important for locomotion mechanics. The abdomen showcases notable structures such as the ovipositor sheath and terga, which are essential for reproductive functions and egg-laying. The detailed labeling facilitates an in-depth study of morphological characteristics relevant to entomological research and species differentiation within the Hymenoptera order."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,22,Image,NA,4,HOTW-Figures/pg_22_img_4.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_22_img_4.png,"Figure 4, sourced from ""Hymenoptera of the World"" (1993) by Charles D. Michener, illustrates the main morphological divisions and structures of a species of Apocrita, specifically Nomada sp. The figure is a dorsal view, depicting essential anatomical components important for understanding Hymenopteran morphology. 

Key labeled components include the **head**, featuring the **scape**, **ocellus**, **eye**, and **pronotum**, crucial for sensory functions and head structure. The **mesosoma** is highlighted with elements such as the **mesoscutum**, **tegula**, **axilla**, **scutellum**, and **metanotum**, which are vital for flight mechanics and support. The **metasoma** section includes the **propodeum**, **metacoxa**, and distinct segments (1-5), significant for reproductive and locomotor functions. The **cercus**, alongside the **ovipositor (sting)**, plays an important role in oviposition and defense. This comprehensive visualization is critical for entomological studies and identification of Hymenoptera species."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,23,Image,NA,5,HOTW-Figures/pg_23_img_5.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_23_img_5.png,"Fig. 5 from ""Hymenoptera of the World"" (1993) by Charles D. Michener illustrates the main morphological divisions and structures of a species from the genus Apocrita, specifically Nomada sp. The figure provides a lateral view of the specimen, highlighting key anatomical features essential for understanding Hymenoptera morphology. 

Key labeled components include the **head**, which contains the **scape**, **ocellus**, and **eye**, indicating sensory functions; the **mesosome**, with structures like the **mesoscutum** and **tegula**, crucial for wing attachment and movement; and the **metasoma**, highlighted by the **ovipositor (sting)**, which is vital for reproductive functions. Additional labels, including **sternum** and **tergum**, denote significant body segments allowing for comparative analysis among species. Each component is integral to the overall anatomy, providing insights into the ecological adaptations and evolutionary relationships within the Apocrita group."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,24,Image,NA,6-8,HOTW-Figures/pg_24_img_6-8.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_24_img_6-8.png,"Figure 6-8 from **Hymenoptera of the World (1993)** by Charles D. Michener illustrates the head anatomy of **Zele sp.** (Apocrita: Braconidae) in three distinct views: anterior (Fig. 6), dorsal (Fig. 7), and lateral (Fig. 8). 

Key components highlighted in Fig. 6 include the **frons**, which is crucial for sensory perception and is flanked by the **eyes** and **ocelli** (both lateral and median) that contribute to vision and environmental awareness. The **torulus** is notable for its role in antenna attachment. Additionally, the **mandible** and **labrum** are emphasized, underscoring their function in feeding.

In Fig. 7, the **vertex** and its relationship with the **torulus** and **ocelli** provide further insight into the structural organization of the head. Finally, Fig. 8 highlights the **gena**, offering a lateral perspective essential for understanding the overall morphology and spatial orientation of the head structures. Collectively, these figures elucidate the intricate anatomy vital for the species' ecological functions."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,25,Image,NA,9-10,HOTW-Figures/pg_25_img_9-10.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_25_img_9-10.png,"Figure 9 and Figure 10 from ""Hymenoptera of the World"" (1993) by Charles D. Michener illustrate the head morphology of the Zele species (family Braconidae) from a posterior view and depict the mouthparts of another Apocrita species from a dorsal view. 

In Figure 9, the head features labeled include the occipital carina, vertex, lateral ocellus, and mandible, which are crucial for understanding the insect's sensory functions and feeding mechanics. Notably, the maxilla and labium are indicated, with the maxilla playing a key role in manipulating food.

Figure 10 details the maxilla and labium's anatomy, highlighting structural components such as the cardo, stipes, and galley within the maxilla, and the submentum, mentum, and labial palpus in the labium. These components are significant for grasping and processing food, essential for the insect's survival. The clarity of these anatomical features supports further research on insect morphology and physiology."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,26,Image,NA,11-12,HOTW-Figures/pg_26_img_11-12.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_26_img_11-12.png,"Figure 11-12 from ""Hymenoptera of the World"" (1993) by Charles D. Michener illustrates the anatomical details of the fore leg of *Aglosotigma sp.* (Fig. 11) and the pretarsus of *Pamphilus sp.* (Fig. 12). The primary focus of the figure is to detail the specialized morphology of these structures in relation to their function in the Hymenoptera order.

Key labeled components in Fig. 11 include the femur, trochanter, coxa, tibia, and tarsus, each playing crucial roles in the movement and adaptability of the insect. The presence of tibial spurs and plantar lobes is significant for traction and maneuverability during flight and foraging. In Fig. 12, components such as the apical tarsomere, claw, and arolium highlight adaptations for grip and attachment to surfaces, essential for the insect's survival.

Overall, these detailed illustrations provide valuable insight into the functional morphology of Hymenoptera, enhancing the understanding of their ecological roles."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,27,Image,NA,13-14,HOTW-Figures/pg_27_img_13-14.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_27_img_13-14.png,"Figure 13-14 from *Hymenoptera of the World* (1993) by Charles D. Michener illustrates the anatomical features of an antenna and the wings of Macroneura sp., contributing to the understanding of Apocrita morphology. 

In Figure 13, the key components of the antenna are highlighted, including the flagellum, scape, pedicel, flagellomere, and radicle. The flagellum is significant for sensory functions, with each flagellomere playing a role in chemical communication. The scape connects the antenna to the head, while the pedicel serves as the transition segment.

Figure 14 depicts the fore and hind wings of a pteromalid, featuring labeled regions such as the costal cell, submarginal (R), marginal (C+R), and postmarginal (R1) sections. The stigma and uncus are essential for aerodynamic efficiency and wing structure, indicating adaptations for flight in this group. Together, these figures provide critical insights into the morphology and functional anatomy of these insects."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,28,Image,NA,15,HOTW-Figures/pg_28_img_15.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_28_img_15.png,"Fig. 15 from *Hymenoptera of the World (1993)* by Charles D. Michener presents the intricacies of wing veins in *Macraypela sp.* (Symphyta: Xyelidac), highlighting their structural complexity. The figure delineates key labeled components, including the Sc (subcostal), Rs (radius), M (media), and Cu (cubitus) veins. Each vein is crucial for understanding the wing architecture and functionality in pollination and flight dynamics.

The subcostal vein (Sc) emerges as a defining structure, supporting overall wing integrity, while the radial veins (Rs) are essential for aerodynamic performance, influencing lift and maneuverability. The medial veins (M) play a crucial role in wing flexibility, and the cubital veins (Cu) are integral in defining wing shape and stability. This figure serves as an essential reference for the taxonomic classification and evolutionary understanding of Hymenoptera, contributing valuable insights into their morphological diversity."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,29,Image,NA,16,HOTW-Figures/pg_29_img_16.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_29_img_16.png,"Figure 16 from *Hymenoptera of the World* (1993) by Charles D. Michener presents detailed wing cell nomenclature for *Macrayela* sp. (Symphyta: Xyelidae). The figure delineates various wing cells, which are critical for understanding wing morphology and classification within Hymenoptera. Key labeled components include:

- **C** (Costal): The leading edge of the wing.
- **Sc** (Subcostal): Provides structural support.
- **R** (Radial) and its sub-sectors: Involved in aerodynamics during flight.
- **Cu** (Cubital): Critical for defining the wing's framework.
- **A** (Anal): Assists in movement control.

Each labeled cell contributes to a comprehensive understanding of the wing’s structure, aiding in taxonomic identification and evolutionary studies within the group. The notation also highlights regional characteristics and questionable homologies, enhancing the figure's utility in both academic and practical applications in entomology."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,30,Image,NA,17,HOTW-Figures/pg_30_img_17.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_30_img_17.png,"Fig. 17 from ""Hymenoptera of the World"" (1993) by Charles D. Michener illustrates the wing veins of the genus Helcon (subfamily Braconidae). This figure highlights various key components of the wing structure, which are crucial for understanding the anatomy and classification of these wasps. Key labeled components include the Sc + R, a critical vein that contributes to wing rigidity, and the M + Cu, which is essential for wing flexibility and movement. Additionally, veins such as Rs and Cu are indicated, each serving distinct roles in aerodynamic function. The diagram presents two wing orientations, emphasizing differences in vein configurations and their implications for species identification. Overall, the figure serves as an essential reference for entomologists studying Hymenopteran wing morphologies and their phylogenetic relationships within the Apocrita group."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,31,Image,NA,18,HOTW-Figures/pg_31_img_18.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_31_img_18.png,"Figure 18 from ""Hymenoptera of the World"" (1993) by Charles D. Michener illustrates the wing cells of *Helcon sp.* (Apocrita: Braconidae), focusing on the structural components of its wings. 

Key labeled components include the primary veins: R, M, and Cu, along with various cells such as 1M, 1R1, and 2R1. The 'R' vein is significant for its role in supporting the wing structure, while 'M' is critical for wing flexibility and movement. The 'Cu' (cubital vein) is essential for wing shape and aerodynamics. The figure distinguishes cells like 1+2Rs and 3Rs, indicating their importance in the classification and functional diversity of the taxon. The sub-divisions aid in understanding evolutionary relationships within Braconidae, providing a framework for further taxonomic studies in the Hymenoptera order. This detailed representation emphasizes both the morphological traits and evolutionary significance of wing structure in this group."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,32,Image,NA,19,HOTW-Figures/pg_32_img_19.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_32_img_19.png,"Fig. 19 from ""Hymenoptera of the World (1993)"" by Charles D. Michener illustrates the wing veins of *Dolichurus* sp. (Apocrita: Ampulcididae). This figure is significant for entomologists studying the morphology of hymenopteran wings, highlighting the complex network of veins essential for flight mechanics and identification. 

Key labeled components include:

- **Sc + R (Subcostal + Radius)**: These veins are critical for structural integrity and flexibility of the wing.
- **M + Cu (Medial + Cubital)**: Important for defining the wing's shape and function in flight.
- **C (Costal)**: Runs along the leading edge, providing support.
- **R1, Rs (Radius veins)**: Vital for distinguishing species within the Ampulcididae family due to their unique configurations.
- **A (Anal vein)**: Contributes to the wing's overall structure and comparative anatomy.

The detailed representation of these veins aids in the classification and understanding of hymenopteran evolutionary relationships."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,33,Image,NA,20,HOTW-Figures/pg_33_img_20.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_33_img_20.png,"Figure 20 from ""Hymenoptera of the World"" (1993) by Charles D. Michener illustrates the wing cells of *Dolichanus spp.* (Apocrita: Ampulicidae), focusing on their structural organization. The figure presents two distinct wing configurations: the upper wing shows detailed cell divisions and structures labeled as C, R, Cu, and various Rs and M cells. Key components include the costal (C) and radial (R) veins, crucial for flight support, and the different cells such as 1R1, 2Rs, and 3M, which play roles in aerodynamics and species identification. The lower wing details the relationship between the anal (A) and medial (M) areas, showcasing the complexity of wing design that aids in understanding evolutionary adaptations within the family. This figure serves as an essential resource for dissecting the morphological traits of *Dolichanus* and their ecological functions."
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,34,Image,NA,170,HOTW-Figures/pg_34_img_170.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_34_img_170.png,"Figure 170 from ""Hymenoptera of the World"" (1993) by Charles D. Michener illustrates the abdominal structure of the Hymenoptera order, specifically within Symphyta. The figure presents a detailed depiction of the abdomen, highlighting its role as the primary posterior body division, which follows the leg-bearing segments and typically consists of ten or fewer apparent segments. 

Key labeled components include the median split in the first abdominal segment, distinguishing it from the metasoma and prothorax. This split is significant as it aids in the identification and classification of Symphyta species, which exhibit variability in abdominal morphology. The figure emphasizes the connection between anatomical structures and their functional implications within the Hymenoptera, enhancing understanding of evolutionary adaptations in this insect group."
