Title,Year,Author,Publisher,Page Number,Type,Text Content,Figure Number,Image Key,Image URL,Image Description
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1,Text,"Chapter3 3S
John T. Huber and Mict
General com",NA,NA,NA,NA
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1,Text,"This guide is intended to familiarize the reader
with the families of Hymenoptera, not hymen-
opteran morphology. We therefore attempt to use
the simplest acceptable terms for structures. Terms Gi
used in the keys are defined and illustrated in the
glossary. A brief overview of hymenopteran
morphology, accompanied by labeled drawings of
bodies and wings representing some major groups",NA,NA,NA,NA
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1,Text,"of Hymenoptera, is given to orient the reader and .
put into perspective many of the terms used. Gi",NA,NA,NA,NA
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1,Text,"When the reader goes beyond this guide to
identify specimens to the level of genus or species, a
plethora of other, often synonymous, morphological
terms will be encountered. In part, this occurs
because over many years various terms have been
replaced by more exact or more generalized terms
and different terms have been applied to
homologous structures in various groups.",NA,NA,NA,NA
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1,Text,"Consequently, any given structure may have several He

names applied to it, and one term may apply to

several distinct structures. This confusion is

nowhere more apparent than in names applied to

the wing veins, where several major systems are

used.",NA,NA,NA,NA
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1,Text,"used.

It is beyond the scope of this guide to define all M
terms as they have been applied to structures within
Hymenoptera. The following annotated list of
references will help the interested reader.

Bohart, R.M., and A.S. Menke. 1976. Sphecid wasps
of the world: a generic revision. University of
California Press, Berkeley, California, USA. ix + Ni
695 pp.",NA,NA,NA,NA
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1,Text,"The morphology chapter, especially the

sections on wing venation and the lists of

synonyms for various terms, is useful to all who

work on aculeate Hymenoptera.

Brothers, D.J. 1975. Phylogeny and classification of Ri
the aculeate Hymenoptera, with special
reference to Mutillidae. University of Kansas
Science Bulletin 50:483—648.

Includes the first cladistic analysis of Aculeata,",NA,NA,NA,NA
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1,Text,"with a detailed discussion of characters.

Boutek, Z. 1988. Australasian Chalcidoidea
(Hymenoptera): a biosystematic revision of R
genera of fourteen families, with a
reclassification of species. C.A.B. International,
Wallingford, England, 832 pp.

tructure

ae! J. Sharkey

ments
Includes a detailed discussion of terms used in
chalcidoid taxonomy.",NA,NA,NA,NA
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1,Text,"suld, I., and B. Bolton, eds. 1988. The
Hymenoptera. Oxford University Press,
Oxford, England. xi + 332 pp.
Includes a chapter on the morphology of
Hymenoptera.",NA,NA,NA,NA
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1,Text,"bson, G.A.P. 1985. Some pro- and mesothoracic
structures important for phylogenetic analysis
of Hymenoptera, with a review of terms for the
structures. Canadian Entomologist
117:1395—1443.
A review and reinterpretation of thoracic
structure and a discussion of synonymous terms
applied to them.",NA,NA,NA,NA
