id,description,parent,tree_id
sec75-1,Megachilidae,sec33-1-2,sec33-1
sec85-1,Apidae,sec33-1-2,sec33-1
sec49-1,Andreninae and Panurginae (Andrenidae),sec33-1-5,sec33-1
sec68-1,Melittidae,sec33-1-5,sec33-1
sec60-1,Oxaeinae (Andrenidae),sec33-1-6,sec33-1
sec61-1,Halictidae,sec33-1-6,sec33-1
sec36-1,Stenotritidae,sec33-1-7,sec33-1
sec37-1,Colletidae,sec33-1-7,sec33-1
sec46-1,Xeromelissinae (Colletidae),sec35-1-2,sec35-1
sec75-1,Megachilidae,sec35-1-3,sec35-1
sec50-1,Alocandreninae (Andrenidae),sec35-1-6,sec35-1
sec52-1,Panurginae (Andrenidae),sec35-1-6,sec35-1
sec51-1,Andreninae (Andrenidae),sec35-1-7,sec35-1
sec77-1,Pararhophitini (Megachilidae),sec35-1-8,sec35-1
sec62-1,Rophitinae (Halictidae),sec35-1-9,sec35-1
sec36-1,Stenotritidae,sec35-1-1,sec35-1
sec85-1,Apidae,sec35-1-1,sec35-1
sec68-1,Melittidae,sec35-1-1,sec35-1
sec51-1,Andreninae (Andrenidae),sec35-1-1,sec35-1
sec60-1,13 13(12). Stigma absent (Fig. 60-2a); two subantennal sutures below each antenna (as in Fig. 51-1a) (Western Hemi- sphere) .......................... Oxaeinae (Andrenidae),sec35-1-1,sec35-1
sec42-1,Diphaglossinae (Colletidae),sec35-1-1,sec35-1
sec63-1,Nomiinae (Halictidae),sec35-1-1,sec35-1
sec39-1,Colletinae (Colletidae),sec35-1-1,sec35-1
sec65-1,Halictinae (Halictidae),sec35-1-1,sec35-1
sec64-1,Nomioidinae (Halictidae),sec35-1-1,sec35-1
sec65-1,"Cleptoparasites in Halictinae, both tribes  (Halictidae)",sec35-1-1,sec35-1
sec47-1,Hylaeinae (Colletidae),sec35-1-2,sec35-1
sec48-1,Euryglossinae (Colletidae),sec35-1-2,sec35-1
sec91-1,Nomadinae (Apidae),sec35-1-2,sec35-1
sec79-1,"Cleptoparasites in Megachilinae, all tribes  (Megachilidae)",sec35-1-2,sec35-1
sec90-1,Social parasites within Allodapini (Apidae),sec35-1-2,sec35-1
sec102-1,Cleptoparasites and social parasites within Apinae  (Apidae),sec35-1-2,sec35-1
Ctenocolletes,Ctenocolletes,sec36-1-1,sec36-1
Stenotritus,Stenotritus,sec36-1-1,sec36-1
sec42-1,Diphaglossinae,sec37-1-2,sec37-1
sec38-1,Colletinae,sec37-1-2,sec37-1
sec46-1,Xeromelissinae,sec37-1-3,sec37-1
sec47-1,Hylaeinae,sec37-1-4,sec37-1
sec48-1,Euryglossinae,sec37-1-4,sec37-1
sec41-1,Scraptrini,sec38-1-2,sec38-1
sec39-1,Paracolletini,sec38-1-2,sec38-1
Eulonchopria,Eulonchopria,sec39-1-1,sec39-1
Lonchorhyncha,Lonchorhyncha,sec39-1-2,sec39-1
Niltonia,Niltonia,sec39-1-3,sec39-1
Lonchopria,Lonchopria,sec39-1-4,sec39-1
Brachyglossula,Brachyglossula,sec39-1-5,sec39-1
Leioproctus (in part),Leioproctus (in part),sec39-1-5,sec39-1
Callomelitta,Callomelitta,sec39-2-1,sec39-2
Paracolletes,Paracolletes,sec39-2-3,sec39-2
Trichocolletes,Trichocolletes,sec39-2-3,sec39-2
Neopasiphae,Neopasiphae,sec39-2-4,sec39-2
Phenacolletes,Phenacolletes,sec39-2-5,sec39-2
Glossurocolletes,Glossurocolletes,sec39-2-6,sec39-2
Hesperocolletes,Hesperocolletes,sec39-2-7,sec39-2
Chrysocolletes,Chrysocolletes,sec39-2-8,sec39-2
Leioproctus,Leioproctus,sec39-2-8,sec39-2
E. (Ethalonchopria),E. (Ethalonchopria),sec39-3-1,sec39-3
E. (Eulonchopria s. str.),E. (Eulonchopria s. str.),sec39-3-1,sec39-3
L. (Nomiocolletes),L. (Nomiocolletes),sec39-4-1,sec39-4
L. (Halictanthrena),L. (Halictanthrena),sec39-4-3,sec39-4
L. (Reedapis),L. (Reedapis),sec39-4-5,sec39-4
L. (Cephalocolletes),L. (Cephalocolletes),sec39-4-5,sec39-4
L. (T orocolletes),L. (T orocolletes),sec39-4-6,sec39-4
L. (Holmbergeria),L. (Holmbergeria),sec39-4-8,sec39-4
L. (Leioproctus s. str.),L. (Leioproctus s. str.),sec39-4-9,sec39-4
L. (Chilicolletes),L. (Chilicolletes),sec39-4-1,sec39-4
L. (Sarocolletes) (in part),L. (Sarocolletes) (in part),sec39-4-1,sec39-4
