id,description,parent
sec46-1,Xeromelissinae (Colletidae),sec35-1-2
sec75-1,Megachilidae,sec35-1-3
sec50-1,Alocandreninae (Andrenidae),sec35-1-6
sec52-1,Panurginae (Andrenidae),sec35-1-6
sec51-1,Andreninae (Andrenidae),sec35-1-7
sec77-1,Pararhophitini (Megachilidae),sec35-1-8
sec62-1,Rophitinae (Halictidae),sec35-1-9
sec36-1,Stenotritidae,sec35-1-1
sec85-1,Apidae,sec35-1-1
sec68-1,Melittidae,sec35-1-1
sec51-1,Andreninae (Andrenidae),sec35-1-1
sec60-1,13 13(12). Stigma absent (Fig. 60-2a); two subantennal sutures below each antenna (as in Fig. 51-1a) (Western Hemi- sphere) .......................... Oxaeinae (Andrenidae),sec35-1-1
sec42-1,Diphaglossinae (Colletidae),sec35-1-1
sec63-1,Nomiinae (Halictidae),sec35-1-1
sec39-1,Colletinae (Colletidae),sec35-1-1
sec65-1,Halictinae (Halictidae),sec35-1-1
sec64-1,Nomioidinae (Halictidae),sec35-1-1
sec65-1,"Cleptoparasites in Halictinae, both tribes  (Halictidae)",sec35-1-1
sec47-1,Hylaeinae (Colletidae),sec35-1-2
sec48-1,Euryglossinae (Colletidae),sec35-1-2
sec91-1,Nomadinae (Apidae),sec35-1-2
sec79-1,"Cleptoparasites in Megachilinae, all tribes  (Megachilidae)",sec35-1-2
sec90-1,Social parasites within Allodapini (Apidae),sec35-1-2
sec102-1,Cleptoparasites and social parasites within Apinae  (Apidae),sec35-1-2
