id,description,parent
A. (Parandrena),A. (Parandrena),sec51-7-1
A. (Micrandrena),A. (Micrandrena),sec51-7-2
A. (Trachandrena),A. (Trachandrena),sec51-7-4
A. (Plastandrena),A. (Plastandrena),sec51-7-4
A. (Stenomelissa),A. (Stenomelissa),sec51-7-6
A. (Chlorandrena),A. (Chlorandrena),sec51-7-6
A. (Habromelissa),A. (Habromelissa),sec51-7-7
A. (Cnemidandrena),A. (Cnemidandrena),sec51-7-8
A. (Poecilandrena),A. (Poecilandrena),sec51-7-9
A. (Hoplandrena),A. (Hoplandrena),sec51-7-1
A. (Andrena s. str.),A. (Andrena s. str.),sec51-7-1
A. (Plastandrena),A. (Plastandrena),sec51-7-1
A. (Holandrena) (in part),A. (Holandrena) (in part),sec51-7-1
A. (Simandrena),A. (Simandrena),sec51-7-1
A. (Melandrena),A. (Melandrena),sec51-7-1
A. (Holandrena) (in part),A. (Holandrena) (in part),sec51-7-1
A. (T aeniandrena),A. (T aeniandrena),sec51-7-1
A. (Euandrena),A. (Euandrena),sec51-7-1
A. (Notandrena),A. (Notandrena),sec51-7-1
A. (Calomelissa),A. (Calomelissa),sec51-7-2
A. (Oreomelissa),A. (Oreomelissa),sec51-7-2
