page,section,new_page,start,end
122,1,1,Key to,"little developed, articu"
123,1,2,lation with clypeus,Colletidae (Sec. 37)
127,2,3,Key to,.... 13
128,2,4,13(12). Stigma absent,(Apidae) (Sec. 102)
130,3,5,Key to,..Stenotritus
134,4,6,Key to,third as wide
135,4,7,as long; female,Euryglossinae (Sec. 48)
137,5,8,Key to,Paracolletini (Sec. 39)
138,6,9,Key to,Leioproctus (in part)
138,7,9,Key to,"margins concave, the"
139,7,10,apex very slender,..... Leioproctus
142,8,11,Key to,(Eulonchopria s. str.)
147,9,12,Key to,gonoforceps) hairless;
148,9,13,gonobase one-third, sub-
149,10,14,marginal crossvein,L. (Odontocolletes)
150,10,15,—. S7 with,L. (Leioproctuss. str.)
162,11,16,Key to,L. (Biglossa)
165,12,17,Key to,(Paracolletes s. str.)
166,13,18,Key to,(Callocolletes)
167,14,19,Key to,..Mourecotelles
169,15,20,Key to,(Mourecotelles s. str.)
173,16,21,Key to,Dissoglottini (Sec. 45)
174,17,22,Key to,Caupolicana
174,18,22,Key to,(Caupolicana s. str.)
177,19,23,Key to,..Cadeguala
179,20,24,Key to,..Mydrosoma
180,21,25,Key to,...2
181,21,26,—. Stigma basal,... Xeromelissa
181,22,26,Key to,upward from antennal
182,22,27,base; second,(Anoediscelis)
189,23,28,Key to,..Meroglossa
190,23,29,—. Gradulus of T2,yellow maculations; pro-
191,23,30,podeal triangle smooth,.... (in part)
191,24,30,Key to,(Agogenohylaeus)
194,25,31,Key to,..... 3
195,25,32,2(1). Mesepisternum,"long as scutellum,"
196,25,33,triangle nearly all,than scutum and
197,25,34,not contiguous with,(Prosopisteron)
197,26,34,Key to,of propodeum never
198,26,35,pruinose (introduced,S6 elevated
199,26,36,along midline; pronotum,(Paraprosopis)
199,27,36,Key to,(Hylaeus s. str.)(in part)
200,27,37,10(8). T1 without,(Prosopis)
200,28,37,Key to,nely
201,28,38,punctate; S7 with,(Prosopis)
201,29,38,Key to,..... 9
202,29,39,9(8). Mesepisternum,"(Lambdopsis) (in part, East Asian species)"
202,30,39,Key to,gonoforceps of male termi-
203,30,40,nating bluntly at,........ 5
215,31,41,Key to,to longitudinal cari-
216,31,42,nae separating dorsal,(Noonadania)
222,32,43,Key to,cell usually sub-
223,32,44,parallel to costal,"in female, nearly"
224,32,45,as broad as scutal,Euhesma
224,33,45,Key to,(Henicohesma)
227,34,46,Key to,(Euhesma s. str.)
228,35,47,Key to,(Pachyprosopina)
231,36,48,Key to,(Pachyprosopula)
233,37,49,Key to,(Xanthesma s. str.)
