Source,Type,Text Content,Figure Number,Image Key,Image URL,Image Description
MMD,Text,"~ Chapter 4 — A primer on bee morphology

v [updated 6/28/2022]

~ In order to use the keys in this book effectively, it is important to become familiar with

~ the morphology of bees and the terms used to describe morphological features. With that goal in",NA,NA,NA,NA
MMD,Text,"iJ mind, we present below an overview of bee morphology and an introduction to the terms that are
used throughout the keys. We follow the terminology used in Michener (2007), which is based

~ on morphological studies of bees that date back to Michener’s PhD thesis (Michener 1944).

~ Additional key papers on bee morphology include Urban (1967), Camargo et al. (1967),",NA,NA,NA,NA
MMD,Text,"wv Eickwort (1969), Stephen et al. (1969), and Brooks (1988). The illustrations in this chapter are
redrawn from Michener (1944 and 1965a) and Danforth (1996). For a detailed look at the

~ internal and external anatomy of the honeybee (Apis mellifera), see Snodgrass (1956). For a

~ comprehensive and modern overview of general insect morphology, see Beutel et al. (2014).

¥ BODY REGIONS",NA,NA,NA,NA
MMD,Text,"¥ BODY REGIONS

= Before diving into the details, let’s consider a basic question. What do we call the three

~ body regions in bees? For most insects, the body is divided into three distinct regions: head,

iy thorax, and abdomen. The abdomen houses the reproductive, digestive, and excretory organs.
The thorax houses the leg and flight muscles, and the head bears the sensory organs and",NA,NA,NA,NA
MMD,Text,"~ mouthparts. However, in most Hymenoptera (bees included), the thorax and abdomen have been

ad reconfigured to such an extent that we cannot use these same terms. In Apocrita (= Hymenoptera

- with a narrow waist), the first abdominal segment has become attached to the posterior region of
the thorax and the narrow “waist” is actually a constriction between abdominal segments | and 2.",NA,NA,NA,NA
MMD,Text,"9 Therefore, in Apocrita, we need to use slightly different terms. In Apocrita we refer to the
“mesosoma” (= thorax plus first abdominal segment, or “propodeum”; Fig. 13) and “metasoma”

~ (= remaining abdominal segments). Thus, in bees, we refer to the three body regions as head,

~ mesosoma, and metasoma. The head and mesosoma are complex structures and we will cover",NA,NA,NA,NA
MMD,Text,"= those below. The metasoma, by contrast, is fairly simple consisting of dorsal sclerites (terga)
paired with ventral sclerites (sterna) to form a tube enclosing the internal organs plus genitalia.

~ For use of the keys, it will be important to identify specific metasomal terga or sterna. To do so,

we number terga and sterna of the metasoma starting with metasomal segment 1. Therefore, the",NA,NA,NA,NA
MMD,Text,"first metasoma tergum is T1, the second T2, and so forth. The same is true for sterna: the first ~
metasomal sternum is S1, the second S2, and so forth [Fig. 19]. Make sure that you are ~
comfortable with identifying specific metasomal terga and sterna when you start using the keys. wi",NA,NA,NA,NA
MMD,Text,"The sexes in bees are often quite different from one ~
another, and in parts of the keys the sexes are treated atl
separately. To people familiar with bees, males and females ~
can be distinguished most rapidly based on the overall shape ww
of the body — males are typically more slender than females
and they often have longer antennae. Also, the presence of a ~",NA,NA,NA,NA
MMD,Text,"distinct scopa will distinguish females from males in many ~
groups (excluding brood parasites, bees that carry pollen v
internally, and queens of advanced eusocial species). Finally,
females have stings, and males have male genitalia [Fig. 20]; ~
but both are commonly retracted, and in some females the ~
sting is rudimentary. Other features may need to be examined ¥",NA,NA,NA,NA
MMD,Text,"to verify the sex of an individual, including the number of
antennal segments and the number of visible metasomal ~
segments. Males have 13 antennal segments (12 in Neopasites ~
and Holcopasites);, females have 12 [Fig. 10]. In addition, ~
males and females typically differ in the number of visible ws
metasomal segments. In males, we can usually count seven",NA,NA,NA,NA
MMD,Text,"visible metasomal terga, whereas in females we can usually ~
count only six [Fig. 19]. But keep in mind that the last ad
segment, which often bears a pygidial plate, can be hidden. In ed
female Halictinae, for example, T6 is often hidden beneath
T5, so females appear to have just five visible terga. Likewise, ~
in some male bees it is difficult to see T7 because it is largely, ”",NA,NA,NA,NA
MMD,Text,"or rarely wholly, hidden beneath T6. In addition, in males of ~
some groups (e.g., Osmiini) the segments are greatly
telescoped and retracted so that the visible terga and sterna ~
can be reduced to as few as four visible sterna and terga. ~
HEAD CAPSULE (Figs 2-4, 10)",NA,NA,NA,NA
MMD,Text,"The malar area [Fig. 2] is the space between the eye and the mandible; its length is the =
shortest distance from the eye to the mandible [Fig. 4]; the width of this area is the width of the —
base of the mandible. The foveae (singular: fovea) of the face [Fig. 2] and of the sides of the
second metasomal tergum (T2) are shallow depressions, usually black in color, with a texture ~",NA,NA,NA,NA
MMD,Text,"distinct from the surrounding cuticle, and variable in shape. The term orbit is often used for the ~
eye margin, inner orbit for the frontal or facial margin, and outer orbit for the genal margin. The ~
genal area is the region behind the eye and in front of the preoccipital ridge [Figs. 3 and 4]. The v
ridge surrounding the concave posterior surface of the head above and laterally is called the",NA,NA,NA,NA
MMD,Text,preoccipital ridge [Fig. 3]. A carina sometimes found on this ridge is the preoccipital carina. The ~,NA,NA,NA,NA
MMD,Text,"~ proboscidial fossa is the large, deep groove on the
~ underside of the head into which the proboscis
~ folds [Fig. 3].
MOUTHPARTS (Figs. 5-9)
~ Bee mouthparts consist of paired mandibles
~ for chewing and a proboscis that can fold and
¥ unfold for lapping and sucking nectar. For the
names of mandibular structures [Fig. 5], we usually
~ follow Michener and Fraser (1978). For simplicity",NA,NA,NA,NA
