Title,Year,Author,Publisher,Page Number,Type,Text Content,Figure Number,Image Key,Image URL,Image Description
MMD,2022,"Danforth, Bryan, et al.",MMDPublisher,1.0,Text,"~ Chapter 4 — A primer on bee morphology

v [updated 6/28/2022]

~ In order to use the keys in this book effectively, it is important to become familiar with

~ the morphology of bees and the terms used to describe morphological features. With that goal in",,,,
MMD,2022,"Danforth, Bryan, et al.",MMDPublisher,1.0,Text,"iJ mind, we present below an overview of bee morphology and an introduction to the terms that are
used throughout the keys. We follow the terminology used in Michener (2007), which is based

~ on morphological studies of bees that date back to Michener’s PhD thesis (Michener 1944).

~ Additional key papers on bee morphology include Urban (1967), Camargo et al. (1967),",,,,
MMD,2022,"Danforth, Bryan, et al.",MMDPublisher,1.0,Text,"wv Eickwort (1969), Stephen et al. (1969), and Brooks (1988). The illustrations in this chapter are
redrawn from Michener (1944 and 1965a) and Danforth (1996). For a detailed look at the

~ internal and external anatomy of the honeybee (Apis mellifera), see Snodgrass (1956). For a

~ comprehensive and modern overview of general insect morphology, see Beutel et al. (2014).

¥ BODY REGIONS",,,,
MMD,2022,"Danforth, Bryan, et al.",MMDPublisher,1.0,Text,"¥ BODY REGIONS

= Before diving into the details, let’s consider a basic question. What do we call the three

~ body regions in bees? For most insects, the body is divided into three distinct regions: head,

iy thorax, and abdomen. The abdomen houses the reproductive, digestive, and excretory organs.
The thorax houses the leg and flight muscles, and the head bears the sensory organs and",,,,
MMD,2022,"Danforth, Bryan, et al.",MMDPublisher,1.0,Text,"~ mouthparts. However, in most Hymenoptera (bees included), the thorax and abdomen have been

ad reconfigured to such an extent that we cannot use these same terms. In Apocrita (= Hymenoptera

- with a narrow waist), the first abdominal segment has become attached to the posterior region of
the thorax and the narrow “waist” is actually a constriction between abdominal segments | and 2.",,,,
MMD,2022,"Danforth, Bryan, et al.",MMDPublisher,15.0,Image,,2,MMD-Figures/page_15_img_2.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/MMD-Figures/page_15_img_2.png,"Fig. 2 in the manuscript by John I Huber, published in MMD, focuses on the anatomical features of the head capsule in a specified insect species. The figure provides a detailed illustration of the malar area, which is defined as the space between the eye and the mandible. The malar area's significance lies in its use for taxonomic differentiation, as its length is measured as the shortest distance from the eye to the base of the mandible. Additionally, the figure highlights the foveae on the face and the sides of the second metasomal tergum (T2). These foveae are depicted as shallow depressions and are typically black in color, serving as critical identifiers for species classification. This visual representation aids in understanding the spatial relationships and morphological characteristics critical for scientific and educational purposes in entomology."
MMD,2022,"Danforth, Bryan, et al.",MMDPublisher,15.0,Image,,3,MMD-Figures/page_15_img_3.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/MMD-Figures/page_15_img_3.png,"Figure 3 from the manuscript by John I Huber in the journal MMD focuses on the anatomical features of the bee's head, particularly the genal area and the preoccipital ridge. This figure provides a detailed illustration of the bee's head highlighting the genal area, which is located behind the eye and in front of the preoccipital ridge. The preoccipital ridge itself is depicted as a prominent structure encircling the posterior part of the head, characterized by its concavity and sometimes featuring a preoccipital carina, which is a ridge found on the preoccipital ridge. Additionally, the figure includes a depiction of the proboscidial fossa, a significant groove on the underside of the head where the proboscis retracts. This visual representation is crucial for understanding the spatial relationships and morphological details of these components, which are essential for studies related to bee anatomy and physiology. The clear labeling and distinct illustration of each part make this figure a valuable resource for researchers focusing on entomological and anatomical studies of bees."
MMD,2022,"Danforth, Bryan, et al.",MMDPublisher,16.0,Image,,4,MMD-Figures/page_16_img_4.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/MMD-Figures/page_16_img_4.png,"Figure 4, sourced from MMD and authored by John I Huber, focuses on the anatomical details of the malar area in an insect head capsule. This figure is pivotal for understanding the spatial relationship between the eye and the mandible of the insect, highlighting the shortest distance from the eye to the mandible and the width of the base of the mandible. Additionally, it illustrates the genal area, which is located behind the eye and in front of the preoccipital ridge. The figure effectively delineates the boundaries and features of these areas, crucial for studies in entomology related to insect head morphology. The clear labeling and detailed depiction serve as a valuable reference for identifying and comparing these anatomical features across different insect species."
MMD,2022,"Danforth, Bryan, et al.",MMDPublisher,16.0,Image,,5,MMD-Figures/page_16_img_5.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/MMD-Figures/page_16_img_5.png,"Fig. 5, sourced from MMD and authored by John I Huber, illustrates the detailed anatomy of bee mandibles, focusing on their structural components as per the naming conventions of Michener and Fraser (1978). This figure is central to understanding the functional morphology of bee mouthparts, specifically highlighting the mandibles used for chewing. Key labeled components include the preapical teeth and various other mandibular structures, each annotated clearly to show their relative positions and interactions. These components are crucial for the bees' ability to process food materials, playing a significant role in their feeding mechanism which involves both lapping and sucking nectar. The diagram serves as an essential reference for entomologists and researchers studying hymenopteran mouthpart mechanics and their evolutionary adaptations."
MMD,2022,"Danforth, Bryan, et al.",MMDPublisher,16.0,Image,,6,MMD-Figures/page_16_img_6.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/MMD-Figures/page_16_img_6.png,"Fig. 6, sourced from MMD and authored by John I. Huber, illustrates the specialized structure of bee mouthparts, focusing particularly on the labial palpus. This figure is essential for understanding the morphological differences in the labial palpus among various bee families. It specifically highlights the first two segments of the labial palpus, which are depicted as elongated, flattened, and sheath-like, contrasting sharply with the shorter, more typical last two segments. This configuration is significant as it demonstrates adaptation in the feeding mechanism of bees, supporting efficient nectar and pollen collection. The detailed labeling and differentiation in the figure provide a clear visual comparison, aiding in the identification and study of bee species based on mouthpart morphology. This figure is a key reference for entomologists and researchers studying the functional anatomy and evolutionary biology of bees."
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1.0,Text,"Chapter3 3S
John T. Huber and Mict
General com",,,,
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1.0,Text,"This guide is intended to familiarize the reader
with the families of Hymenoptera, not hymen-
opteran morphology. We therefore attempt to use
the simplest acceptable terms for structures. Terms Gi
used in the keys are defined and illustrated in the
glossary. A brief overview of hymenopteran
morphology, accompanied by labeled drawings of
bodies and wings representing some major groups",,,,
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1.0,Text,"of Hymenoptera, is given to orient the reader and .
put into perspective many of the terms used. Gi",,,,
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1.0,Text,"When the reader goes beyond this guide to
identify specimens to the level of genus or species, a
plethora of other, often synonymous, morphological
terms will be encountered. In part, this occurs
because over many years various terms have been
replaced by more exact or more generalized terms
and different terms have been applied to
homologous structures in various groups.",,,,
Hymenoptera of the World,1993,Charles D. Michener,HOTWPublisher,1.0,Text,"Consequently, any given structure may have several He

names applied to it, and one term may apply to

several distinct structures. This confusion is

nowhere more apparent than in names applied to

the wing veins, where several major systems are

used.",,,,
Hymenoptera of the World,1993,John I Huber,HOTWPublisher,19.0,Image,,1,HOTW-Figures/pg_19_img_1.png,https://ccber-tester-bucket.s3.us-east-1.amazonaws.com/HOTW-Figures/pg_19_img_1.png,"**Figure 1** from *Hymenoptera of the World (1993)* by Charles D. Michener illustrates terms of relative position used in the description of insect morphology, specifically focusing on the structural orientation of wings and body parts. 

Key labeled components include:

- **Anterior, Posterior, and Lateral**: These terms define the directional orientation of body parts; anterior refers to the front, posterior to the back, and lateral to the sides, essential for accurate morphological descriptions.
- **Medial, Submedial, and Sublateral**: Indicate positions relative to the body's midline, aiding in the taxonomy and identification of species.
- **Dorsal and Ventral**: Highlight the upper and lower sides of the insect, crucial in understanding body structure in various insect orders.
- **Height, Width, and Length**: Measurements that provide a quantitative basis for anatomical classification.

This figure serves as a foundational reference that enhances clarity and precision in the study of Hymenoptera morphology."
